Portfolio,alpha,t_alpha,p_alpha,R2,betaMkt-RF
SMALL LoBM,-0.2658528362378379,-0.8016666251559238,0.4227,0.6997039744171717,1.416956555921418
ME1 BM2,0.15853318357070717,0.6236125961067551,0.5329,0.7034315965704447,1.2421253307960078
ME1 BM3,0.26728979011111814,1.1382169983837114,0.255,0.7079157862931238,1.1530825349412954
ME1 BM4,0.42993044332223634,2.0016452244427425,0.0453,0.6878727376175233,1.0717448352690744
SMALL HiBM,0.54051953842066,2.193522772541788,0.0283,0.6446137202692969,1.0998763087613381
ME2 BM1,-0.18911546099674484,-0.817706845837488,0.4135,0.8065319701922241,1.4265723422622865
ME2 BM2,0.14168719725367301,0.7925223839313272,0.4281,0.8037644108067843,1.2304271295393914
ME2 BM3,0.38695063058716833,2.4758152541368474,0.0133,0.7888688284143809,1.111508619662099
ME2 BM4,0.4776322352052201,2.9712802262252933,0.003,0.7833148639239031,1.0310347520742533
ME2 BM5,0.5217337603288431,2.722726728988725,0.0065,0.7356579104002001,1.1269285282531898
ME3 BM1,-0.11390571406132782,-0.714098640144756,0.4752,0.8628104637480567,1.3475612239405534
ME3 BM2,0.17497416131993562,1.2715866598244807,0.2035,0.8590697048004112,1.1566557173531493
ME3 BM3,0.2545601994226218,1.860998460980224,0.0627,0.8345823164673211,1.0340174047914639
ME3 BM4,0.430110391588089,3.492777577558338,0.0005,0.8191735871222322,0.9721997285776813
ME3 BM5,0.4844514554032897,2.6466601242721044,0.0081,0.7437656142422808,1.070604081391891
ME4 BM1,-0.03784657778478251,-0.27914214993730735,0.7801,0.8986378854722045,1.2176977498024293
ME4 BM2,-0.09274953521945206,-0.8386895235638646,0.4016,0.9045055952709261,1.1221696324438344
ME4 BM3,0.19168244028831977,1.7406459549449187,0.0817,0.8785460751821011,1.0391640811723064
ME4 BM4,0.395522922513155,3.2245983321492315,0.0013,0.8178443581624126,0.9727029809655101
ME4 BM5,0.4455925205721811,3.044936738417114,0.0023,0.7689739193321502,1.0794614798476527
BIG LoBM,-0.04076458835422672,-0.38184316701969345,0.7026,0.8801499913775307,1.0045547467588425
ME5 BM2,-0.06382979179501874,-0.6900322007109267,0.4902,0.9119224517731532,0.9821742684933896
ME5 BM3,0.00013255376005900628,0.001486372918800518,0.9988,0.8288319254131552,0.8706295921418538
ME5 BM4,0.16434018653199825,1.7566830961964761,0.079,0.7971303933002898,0.8396182093190424
BIG HiBM,0.17377711161928464,1.3132884206949111,0.1891,0.6933261011182626,0.8685444304767009
